name,activation,target,area,duration,range,savetype,onsave,school,description,level,icon
WRETCHED GHAST RIPOSTE,immediate,1 creature,,1 round,Close (25 ft. plus 5 ft. per 2 levels),,,Unquiet Grave (Counter); Level: 4,"You afflict an attacker with the charnel stench of the ghast, ruining their blow. You may initiate this counter in response to a melee or ranged attack being made against you. The creature attacking you becomes sickened for 1 round and must succeed at a Fortitude save or also become nauseated for 1 round. Apply these penalties before calculating the attack and damage rolls for the attack (this may cause the attack to miss or not occur).",4,icons/svg/terror.svg
ANCIENT LICH PARRY,immediate,You,,Special (see text),Personal,,,Unquiet Grave (Counter); Level: 5,"You shield yourself with webs of entropic energy that sap at magic directed at you. When you initiate this counter, you gain spell resistance equal to 15 plus your initiator level until the beginning of your next turn.
Grave Call: An undead creature initiating this counter also gains an equal amount of positive energy resistance until the beginning of its next turn.",5,icons/svg/terror.svg
FLOWING GORE BLOW,standard,Creature struck,,Instantaneous,Melee attack,,,Unquiet Grave (Strike); Level: 5,"Your axe flows forth with negative energy, creating a cursed wound. Make a melee attack. If it hits, it deals weapon damage as normal, plus an additional 4d8 points of bleed damage. The wound left behind is laced with negative energy; the caster of a healing spell or similar effect must succeed at a caster level check (DC 11 + initiator level) to halt the bleed damage (healing from the spell or effect still occurs even if the check fails to halt the bleeding), and the DC to apply first aid with the Heal skill increases by 5 + your initiation modifier.",5,icons/svg/terror.svg
HOWLING BANSHEE STRIKE,standard,Creature struck,,Instantaneous and special (see text),Melee attack,,,Unquiet Grave (Strike); Level: 5,"Your weapon screams like a grieving banshee as you drive it into your foe. Make a melee attack. If it hits, it deals weapon damage as normal, plus an additional 4d8 points of negative energy damage, and the creature struck becomes deafened for a number of rounds equal to your initiation modifier.",5,icons/svg/terror.svg
ASCENDING NECROMANCERS STYLE,immediate,You,,Special (see text),Personal,,,Unquiet Grave (Counter); Level: 6,"You wrap yourself in armoring layers of negative energy, shielding your life force with the touch of undeath. When you initiate this counter, you become immune to energy drain and Constitution damage until the beginning of your next turn.
Grave Call: An undead creature initiating this maneuver instead becomes immune to channeling and positive energy damage until the beginning of its next turn.",6,icons/svg/terror.svg
FEASTING WRAITH STRIKE,standard,Creature struck,,Instantaneous,Melee attack,,,Unquiet Grave (Strike); Level: 6,"Sickly gray tar clings to your blade as you initiate this dread strike. Make a melee attack. If it hits, it deals weapon damage as normal plus 2d4 points of Constitution damage, and your victim becomes shaken for a number of rounds equal to your initiation modifier. A successful Will save halves the Constitution damage and prevents the shaken condition.",6,icons/svg/terror.svg
HEADSMANS DESCENDING AXE,standard,Creature struck,,Instantaneous,Melee attack,,,Unquiet Grave (Strike); Level: 6,"You cleave into your foe with an executioners strike. Make a melee attack. If it hits and your victim is at more than 1/4 their maximum hit point total, it deals weapon damage as normal, plus an additional 6d8 points of negative energy damage. If your victim is at 1/4 or less of their maximum hit point total, that creature instead dies (no save) and you gain temporary hit points equal to twice its Hit Dice. The temporary hit points gained from this maneuver stack with those gained from other Unquiet Grave maneuvers, to the normal maximum.",6,icons/svg/terror.svg
LOOMING NIGHTWALKER PARRY,immediate,You,,Special (see text),Personal,,,Unquiet Grave (Counter); Level: 6,"You transform your body into shadowy energy, turning blows aside. When you initiate this boost, you gain negative energy resistance 20 and DR 15/silver and good until the beginning of your next turn.
Grave Call: An undead creature initiating this boost gains positive energy resistance 20 instead of negative energy resistance.",6,icons/svg/terror.svg
POLTERGEISTS WRATH,standard,1 creature,,Instantaneous,Medium (100 ft. plus 10 ft. per level),,,Unquiet Grave (Strike); Level: 7,"You strike out with your weapon and emit a wave of rage and sorrow that brings your victim to their knees. Choose a creature within range, then make a melee attack against that creature (even if you dont threaten the chosen creature). If it hits, it deals weapon damage as normal, plus an additional 6d8 points of negative energy damage, and your victim is knocked prone (no save).",7,icons/svg/terror.svg
SCYTHING REAPER RIPOSTE,immediate,1 creature,,Instantaneous,Close (25 ft. plus 5 ft. per 2 levels),,,Unquiet Grave (Counter); Level: 7,"You form a scythe of crackling negative energy and sweep it through your attacker, draining their vital essence. You may initiate this counter in response to a melee or ranged attack being made against you. The creature attacking you gains 2d4 negative levels (Will save half) that last until the end of the encounter.",7,icons/svg/terror.svg
CHILLING MIST SIDESTEP,immediate,You,,Special (see text),Personal,,,Unquiet Grave (Counter); Level: 8,"You turn into dark mist that crackles with negative energy. You may initiate this counter in response to a melee or ranged attack being made against you. Until the beginning of your next turn, you are immune to weapon damage, and spells targeted against you have a 50% miss chance. If you initiated this counter in response to a melee attack, the creature attacking you suffers 7d8 points of negative energy damage.",8,icons/svg/terror.svg
SOUL DRINKING STRIKE,standard,Creature struck,,Instantaneous,Melee attack,,,Unquiet Grave (Strike); Level: 8,"You channel the all-consuming void through your
axe, brutally rending your victims soul. Make a melee attack. If it hits, it deals weapon damage as normal, plus an additional 3d4 points of Intelligence, Wisdom, and Charisma damage. A successful Will save halves this damage.",8,icons/svg/terror.svg
PITILESS AXE OF THE EXECUTIONER,standard,Creature struck,,Instantaneous,Melee attack,,,Unquiet Grave (Strike); Level: 9,"Your weapon descends in a merciless swing, its cursed edge crawling into the wounds of your victims. Make a melee attack. If it hits, it deals weapon damage as normal, plus an additional 3d6 Constitution damage and 9d8 bleed damage that ignores immunity to bleed. The wound left behind is laced with negative energy; the caster of a healing spell or similar effect must succeed at a caster level check (DC 11 + initiator level) to halt the bleed damage (healing from the spell or effect still occurs even if the check fails to halt the bleeding), and the DC to apply first aid with the Heal skill increases by 9 + your initiation modifier.
Grave Call: An undead creature initiating this maneuver gains temporary hit points equal to twice the Hit Dice of the creature struck. The temporary hit points gained from this maneuver stack with those gained from other Unquiet Grave maneuvers, to the normal maximum.",9,icons/svg/terror.svg
BOLSTER,immediate,One ally,,Instant,Close (25 ft. + 5 ft./2 levels),,,Radiant Dawn (Counter); Level: 1,"You fortify an ally with akasha, hardening their skin like the scales of a dragon. You can initiate this counter in response to a melee or ranged attack hitting an ally within close range (25 feet + 5 feet per 2 initiator levels). That ally gains DR/– equal to your initiation modifier for 1 round. Essence: For each point of essence invested into this counter, the damage reduction granted increases by 1.",1,icons/svg/aura.svg
